,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,paper_key,place_holder,month_year
0,2-s2.0-85041586488,10.1002/cmdc.201700731,,29331080,"Design, Synthesis and Evaluation of Oxazaborine Inhibitors of the NLRP3 Inflammasome",ar,Article,Baldwin A.G.,60111801,Health Innovation Manchester,Manchester,United Kingdom,7,"['Baldwin, Alex G.', 'Tapia, Victor S.', 'Swanton, Tessa', 'White, Claire S.', 'Beswick, James A.', 'Brough, David', 'Freeman, Sally']","['57183704300', '57200536768', '57200544725', '57212585622', '57196214869', '7006799289', '16143095900']",60111801;60111801;60111801;60111801;60111801;60111801;60111801,2018-02-20,20 February 2018,ChemMedChem,18607179,4400151608,18607187,Journal,13,4,,312-320,"The NLRP3 inflammasome is an important regulator of the sterile inflammatory response, and its activation by host-derived sterile molecules leads to the intracellular activation of caspase-1, processing of the pro-inflammatory cytokines interleukin-1β (IL-1β)/IL-18, and pyroptotic cell death. Inappropriate activation of NLRP3 drives a chronic inflammatory response and is implicated in several non-communicable diseases, including gout, atherosclerosis, type II diabetes and Alzheimer's disease. In this study, we report the design, synthesis and biological evaluation of novel boron compounds (NBCs) as NLRP3 inflammasome inhibitors. Structure–activity relationships (SAR) show that 4-fluoro substituents on the phenyl rings retain NLRP3 inhibitory activity, whereas more steric and lipophilic substituents diminish activity. Loss of inhibitory activity is also observed if the CCl3 group on the oxazaborine ring is replaced by a CF3 group. These findings provide additional understanding of the NBC series and will aid in the development of these NLRP3 inhibitors as tool compounds or therapeutic candidates for sterile inflammatory diseases.",boron | inflammation | NLRP3 inflammasome | oxazaborines | structure–activity relationships,14,1,MRC,1916343,Medical Research Council,origin paper,0.0,2018-02-01
0,2-s2.0-85044943893,10.1038/s41598-018-24029-3,,29618797,Development of a characterised tool kit for the interrogation of NLRP3 inflammasome-dependent responses,ar,Article,Redondo-Castro E.,60111951;60111801;60108060;60025685;60018508;118302863;113799064,"Astex Pharmaceuticals;Health Innovation Manchester;LifeArc;Eli Lilly and Company;Eisai Co., Ltd.;Abbvie;Alzheimer's Research UK",Cambridge;Manchester;London;Indianapolis;Tokyo;Cambridge;Cambridge,United Kingdom;United Kingdom;United Kingdom;United States;Japan;United States;United Kingdom,15,"['Redondo-Castro, Elena', 'Faust, Dorte', 'Fox, Simon', 'Baldwin, Alex G.', 'Osborne, Simon', 'Haley, Michael J.', 'Karran, Eric', 'Nuthall, Hugh', 'Atkinson, Peter J.', 'Dawson, Lee A.', 'Routledge, Carol', 'Allan, Stuart M.', 'Freeman, Sally', 'Brownlees, Janet', 'Brough, David']","['55102717800', '57220381535', '56799811500', '57183704300', '57201462819', '56763706700', '7003335135', '6602406654', '57197096196', '7102969261', '57201459695', '7006687687', '16143095900', '56800715100', '7006799289']",60111801;60108060;60108060;60111801;60108060;60111801;118302863;60025685;60018508;60111951;113799064;60111801;60111801;60108060;60111801,2018-12-01,1 December 2018,Scientific Reports,,21100200805,20452322,Journal,8,1,5667,,"Inflammation is an established contributor to disease and the NLRP3 inflammasome is emerging as a potential therapeutic target. A number of small molecule inhibitors of the NLRP3 pathway have been described. Here we analysed the most promising of these inhibitor classes side by side to assess relative potency and selectivity for their respective putative targets. Assessed using ASC inflammasome-speck formation, and release of IL-1β, in both human monocyte/macrophage THP1 cells and in primary mouse microglia, we compared the relative potency and selectivity of P2X7 inhibitors, inflammasome inhibitors (diarylsulfonylurea vs. the NBC series), and caspase-1 inhibitors. In doing so we are now able to provide a well characterised small molecule tool kit for interrogating and validating inflammasome-dependent responses with a range of nanomolar potency inhibitors against established points in the inflammasome pathway.",,14,1,MRC,ARUK-DC2017-1,Medical Research Council,papers by authors,0.0,2018-12-01
1,2-s2.0-85044107050,10.1016/j.bmcl.2018.03.025,S0960894X1830204X,29567345,Evaluation of analogues of furan-amidines as inhibitors of NQO2,ar,Article,Alnabulsi S.,60172345;60028832;60014551;60003771,"Faculty of Biology, Medicine and Health;Cambridge Crystallographic Data Centre;Aston University;The University of Manchester",Manchester;Cambridge;Birmingham;Manchester,United Kingdom;United Kingdom;United Kingdom;United Kingdom,12,"['Alnabulsi, Soraya', 'Hussein, Buthaina', 'Santina, Elham', 'Alsalahat, Izzeddin', 'Kadirvel, Manikandan', 'Magwaza, Rachael N.', 'Bryce, Richard A.', 'Schwalbe, Carl H.', 'Baldwin, Alex G.', 'Russo, Ilaria', 'Stratford, Ian J.', 'Freeman, Sally']","['57190228162', '57188931335', '57188932324', '36676946100', '15056138700', '57201270113', '7006481959', '7005602251', '57183704300', '35861853300', '7004547474', '16143095900']",60172345;60172345;60172345;60172345;60172345;60172345;60172345;60014551-60028832;60172345;60003771;60172345;60172345,2018-05-01,1 May 2018,Bioorganic and Medicinal Chemistry Letters,0960894X,25788,14643405,Journal,28,8,,1292-1297,"Inhibitors of the enzyme NQO2 (NRH: quinone oxidoreductase 2) are of potential use in cancer chemotherapy and malaria. We have previously reported that non-symmetrical furan amidines are potent inhibitors of NQO2 and here novel analogues are evaluated. The furan ring has been changed to other heterocycles (imidazole, N-methylimidazole, oxazole, thiophene) and the amidine group has been replaced with imidate, reversed amidine, N-arylamide and amidoxime to probe NQO2 activity, improve solubility and decrease basicity of the lead furan amidine. All compounds were fully characterised spectroscopically and the structure of the unexpected product N-hydroxy-4-(5-methyl-4-phenylfuran-2-yl)benzamidine was established by X-ray crystallography. The analogues were evaluated for inhibition of NQO2, which showed lower activity than the lead furan amidine. The observed structure-activity relationship for the furan-amidine series with NQO2 was rationalized by preliminary molecular docking and binding mode analysis. In addition, the oxazole-amidine analogue inhibited the growth of Plasmodium falciparum with an IC50 value of 0.3 μM.",Anti-cancer | Furan-amidines | Isosteres | Malaria | NQO2 inhibitors | SAR,10,0,JUST,undefined,Jordan University of Science and Technology,papers by authors,0.0,2018-05-01
2,2-s2.0-85033598948,10.1007/s00044-017-2110-8,,,Synthesis and antibacterial activities of enamine derivatives of dehydroacetic acid,ar,Article,Baldwin A.G.,60111801,Health Innovation Manchester,Manchester,United Kingdom,5,"['Baldwin, Alex G.', 'Bevan, Jonathan', 'Brough, David', 'Ledder, Ruth', 'Freeman, Sally']","['57183704300', '57196480722', '7006799289', '6508270110', '16143095900']",60111801;60111801;60111801;60111801;60111801,2018-03-01,1 March 2018,Medicinal Chemistry Research,10542523,18384,15548120,Journal,27,3,,884-889,"Dehydroacetic acid is a common pyrone derivative used commercially as an antibacterial and antifungal agent. Based on the synthesis of dehydroacetic acid (1) from N-hydroxysuccinimdyl acetoacetate, a novel series of enamine-based derivatives were synthesised in order to improve the antibacterial activity of dehydroacetic acid. The antibacterial activities of the synthesised analogues were evaluated against Escherichia coli and Staphylococcus aureus. Derivative 4d (N-Ph) was identified as the most potent inhibitor of S. aureus growth. Overall, derivative 4b (N-Me) showed the best broad-spectrum activity with five-fold greater minimum inhibitory concentration and 11-fold greater minimum biocidal concentration against E. coli when compared to dehydroacetic acid, in addition to improved antibacterial activity against S. aureus.","Antibacterial activity | Dehydroacetic acid | Pyran-2, 4-diones | SAR | Staphylococcus aureus",6,1,,undefined,University of Manchester,papers by authors,0.5,2018-03-01
4,2-s2.0-85029673251,10.1016/j.chembiol.2017.08.011,S2451945617303094,28943355,Boron-Based Inhibitors of the NLRP3 Inflammasome,ar,Article,Baldwin A.G.,60111801;60101501;60014551;60010426,"Health Innovation Manchester;MedImmune Limited, Cambridge;Aston University;St George's Hospital",Manchester;Cambridge;Birmingham;London,United Kingdom;United Kingdom;United Kingdom;United Kingdom,20,"['Baldwin, Alex G.', 'Rivers-Auty, Jack', 'Daniels, Michael J.D.', 'White, Claire S.', 'Schwalbe, Carl H.', 'Schilling, Tom', 'Hammadi, Halah', 'Jaiyong, Panichakorn', 'Spencer, Nicholas G.', 'England, Hazel', 'Luheshi, Nadia M.', 'Kadirvel, Manikandan', 'Lawrence, Catherine B.', 'Rothwell, Nancy J.', 'Harte, Michael K.', 'Bryce, Richard A.', 'Allan, Stuart M.', 'Eder, Claudia', 'Freeman, Sally', 'Brough, David']","['57183704300', '55783266700', '57111532300', '57212585622', '7005602251', '57195731912', '57195736548', '57194975291', '55989464000', '6701531025', '25932189100', '15056138700', '7402265662', '36042800200', '8352176800', '7006481959', '7006687687', '9279211900', '16143095900', '7006799289']",60111801;60111801;60111801;60111801;60014551;60010426;60111801;60111801;60010426;60111801;60111801-60101501;60111801;60111801;60111801;60111801;60111801;60111801;60010426;60111801;60111801,2017-11-16,16 November 2017,Cell Chemical Biology,24519456,21100456838,24519448,Journal,24,11,,1321-1335.e5,"NLRP3 is a receptor important for host responses to infection, yet is also known to contribute to devastating diseases such as Alzheimer's disease, diabetes, atherosclerosis, and others, making inhibitors for NLRP3 sought after. One of the inhibitors currently in use is 2-aminoethoxy diphenylborinate (2APB). Unfortunately, in addition to inhibiting NLRP3, 2APB also displays non-selective effects on cellular Ca2+ homeostasis. Here, we use 2APB as a chemical scaffold to build a series of inhibitors, the NBC series, which inhibit the NLRP3 inflammasome in vitro and in vivo without affecting Ca2+ homeostasis. The core chemical insight of this work is that the oxazaborine ring is a critical feature of the NBC series, and the main biological insight the use of NBC inhibitors led to was that NLRP3 inflammasome activation was independent of Ca2+. The NBC compounds represent useful tools to dissect NLRP3 function, and may lead to oxazaborine ring-containing therapeutics. The NLRP3 inflammasome is known to contribute to damaging inflammation during disease. Baldwin et al. describe a new boron-containing series of inflammasome inhibitors, which may lead to the development of new anti-inflammatory molecules and allow further interrogation of inflammatory mechanisms.",boron | inflammation | inhibitor | interleukin-1 | NLRP3 inflammasome,51,1,WT,MC_PC_13070,Wellcome Trust,papers by authors,1.5,2017-11-01
5,2-s2.0-84982107211,10.1038/ncomms12504,,27509875,Fenamate NSAIDs inhibit the NLRP3 inflammasome and protect against Alzheimer's disease in rodent models,ar,Article,Daniels M.J.D.,60172345;60171138;60112092;60029329,"Faculty of Biology, Medicine and Health;University of Dundee School of Medicine;SynAging SAS;St George’s, University of London",Manchester;Dundee;Vandoeouvre-les-Nancy;London,United Kingdom;United Kingdom;France;United Kingdom,25,"['Daniels, Michael J.D.', 'Rivers-Auty, Jack', 'Schilling, Tom', 'Spencer, Nicholas G.', 'Watremez, William', 'Fasolino, Victoria', 'Booth, Sophie J.', 'White, Claire S.', 'Baldwin, Alex G.', 'Freeman, Sally', 'Wong, Raymond', 'Latta, Clare', 'Yu, Shi', 'Jackson, Joshua', 'Fischer, Nicolas', 'Koziel, Violette', 'Pillot, Thierry', 'Bagnall, James', 'Allan, Stuart M.', 'Paszek, Pawel', 'Galea, James', 'Harte, Michael K.', 'Eder, Claudia', 'Lawrence, Catherine B.', 'Brough, David']","['57111532300', '55783266700', '57195731912', '55989464000', '57190666141', '57190667871', '57190670375', '57212585622', '57183704300', '16143095900', '55236406400', '56536828000', '57190663756', '57190667002', '56274806800', '6603976393', '7003647213', '56083150300', '7006687687', '6506792990', '36463361600', '8352176800', '9279211900', '7402265662', '7006799289']",60172345;60172345;60029329;60029329;60172345;60172345;60172345;60172345;60172345;60172345;60172345;60172345;60172345;60172345;60112092;60112092;60112092;60172345;60172345;60172345;60171138;60172345;60029329;60172345;60172345,2016-08-11,11 August 2016,Nature Communications,,19700182758,20411723,Journal,7,,12504,,"Non-steroidal anti-inflammatory drugs (NSAIDs) inhibit cyclooxygenase-1 (COX-1) and COX-2 enzymes. The NLRP3 inflammasome is a multi-protein complex responsible for the processing of the proinflammatory cytokine interleukin-1β and is implicated in many inflammatory diseases. Here we show that several clinically approved and widely used NSAIDs of the fenamate class are effective and selective inhibitors of the NLRP3 inflammasome via inhibition of the volume-regulated anion channel in macrophages, independently of COX enzymes. Flufenamic acid and mefenamic acid are efficacious in NLRP3-dependent rodent models of inflammation in air pouch and peritoneum. We also show therapeutic effects of fenamates using a model of amyloid beta induced memory loss and a transgenic mouse model of Alzheimer's disease. These data suggest that fenamate NSAIDs could be repurposed as NLRP3 inflammasome inhibitors and Alzheimer's disease therapeutics.",,192,1,FP7,279017,Seventh Framework Programme,papers by authors,1.0,2016-08-01
6,2-s2.0-84961171434,10.1021/acs.jmedchem.5b01091,,26422006,Inhibiting the Inflammasome: A Chemical Perspective,re,Review,Baldwin A.G.,60172345;60003771,"Faculty of Biology, Medicine and Health;The University of Manchester",Manchester;Manchester,United Kingdom;United Kingdom,3,"['Baldwin, Alex G.', 'Brough, David', 'Freeman, Sally']","['57183704300', '7006799289', '16143095900']",60172345;60003771;60172345,2016-03-10,10 March 2016,Journal of Medicinal Chemistry,00222623,23041,15204804,Journal,59,5,,1691-1710,"Inflammasomes are high molecular weight complexes that sense and react to injury and infection. Their activation induces caspase-1 activation and release of interleukin-1β, a pro-inflammatory cytokine involved in both acute and chronic inflammatory responses. There is increasing evidence that inflammasomes, particularly the NLRP3 inflammasome, act as guardians against noninfectious material. Inappropriate activation of the NLRP3 inflammasome contributes to the progression of many noncommunicable diseases such as gout, type II diabetes, and Alzheimer's disease. Inhibiting the inflammasome may significantly reduce damaging inflammation and is therefore regarded as a therapeutic target. Currently approved inhibitors of interleukin-1β are rilonacept, canakinumab, and anakinra. However, these proteins do not possess ideal pharmacokinetic properties and are unlikely to easily cross the blood-brain barrier. Because inflammation can contribute to neurological disorders, this review focuses on the development of small-molecule inhibitors of the NLRP3 inflammasome.",,87,0,,undefined,,papers by authors,0.0,2016-03-01
0,2-s2.0-85103630529,10.1523/JNEUROSCI.1980-20.2020,,33597269,Zinc status alters Alzheimer's disease progression through NLRP3-dependent inflammation,ar,Article,Rivers-Auty J.,60028333;60027766;60022773;60018654;60006492;60003771;60000112;125994068,UNSW Sydney;The Rowett Institute;Neuroscience Research Australia;Quadram Institute Bioscience;Tasmanian School of Medicine;The University of Manchester;University of East Anglia;Bristol-Myers Squibb (Celgene Corporation),Sydney;Aberdeen;Sydney;Norwich;Hobart;Manchester;Norwich;Cambridge,Australia;United Kingdom;Australia;United Kingdom;Australia;United Kingdom;United Kingdom;United States,19,"['Rivers-Auty, Jack', 'Tapia, Victor S.', 'White, Claire S.', 'Daniels, Michael J.D.', 'Drinkall, Samuel', 'Kennedy, Paul T.', 'Spence, Harry G.', 'Yu, Shi', 'Green, Jack P.', 'Hoyle, Christopher', 'Cook, James', 'Bradley, Amy', 'Mather, Alison E.', 'Peters, Ruth', 'Tzeng, Te Chen', 'Gordon, Margaret J.', 'Beattie, John H.', 'Brough, David', 'Lawrence, Catherine B.']","['55783266700', '57200536768', '57212585622', '57111532300', '57222661602', '57222659380', '57222657108', '57190663756', '57203883076', '57203606010', '57202851334', '56851019900', '16319287800', '57201294325', '55539525300', '7402800978', '7102388790', '7006799289', '7402265662']",60003771-60006492;60003771;60003771;60003771;60003771;60003771;60003771;60003771;60003771;60003771;60003771;60003771;60018654-60000112;60028333-60022773;125994068;60027766;60027766;60003771;60003771,2021-03-31,31 March 2021,Journal of Neuroscience,02706474,16764,15292401,Journal,41,13,,3025-3038,"Alzheimer's disease is a devastating neurodegenerative disease with a dramatically increasing prevalence and no disease-modifying treatment. Inflammatory lifestyle factors increase the risk of developing Alzheimer's disease. Zinc deficiency is the most prevalent malnutrition in the world and may be a risk factor for Alzheimer's disease potentially through enhanced inflammation, although evidence for this is limited. Here we provide epidemiological evidence suggesting that zinc supplementation was associated with reduced risk and slower cognitive decline, in people with Alzheimer's disease and mild cognitive impairment. Using the APP/PS1 mouse model of Alzheimer's disease fed a control (35mg/kg zinc) or diet deficient in zinc (3mg/kg zinc), we determined that zinc deficiency accelerated Alzheimer's-like memory deficits without modifying amyloid b plaque burden in the brains of male mice. The NLRP3-inflammasome complex is one of the most important regulators of inflammation, and we show here that zinc deficiency in immune cells, including microglia, potentiated NLRP3 responses to inflammatory stimuli in vitro, including amyloid oligomers, while zinc supplementation inhibited NLRP3 activation. APP/PS1 mice deficient in NLRP3 were protected against the accelerated cognitive decline with zinc deficiency. Collectively, this research suggests that zinc status is linked to inflammatory reactivity and may be modified in people to reduce the risk and slow the progression of Alzheimer's disease.",Alzheimer's disease | APP/PS1 | Inflammation | Microglia | NLRP3 | Zinc,2,1,,undefined,,papers by authors,0.0,2021-03-01
1,2-s2.0-85066427369,10.1074/jbc.RA119.008009,S0021925820363213,30940725,"The three cytokines IL-1β, IL-18, and IL-1α share related but distinct secretory routes",ar,Article,Tapia V.S.,60111801;60108299;60101501;60027272;60017161;60003771,"Health Innovation Manchester;Centre International de Recherche en Infectiologie;MedImmune Limited, Cambridge;The University of Edinburgh;National University of Singapore;The University of Manchester",Manchester;Lyon;Cambridge;Edinburgh;Singapore City;Manchester,United Kingdom;France;United Kingdom;United Kingdom;Singapore;United Kingdom,11,"['Tapia, Victor S.', 'Daniels, Michael J.D.', 'Palazón-Riquelme, Pablo', 'Dewhurst, Matthew', 'Luheshi, Nadia M.', 'Rivers-Auty, Jack', 'Green, Jack', 'Redondo-Castro, Elena', 'Kaldis, Philipp', 'Lopez-Castejon, Gloria', 'Brough, David']","['57200536768', '57111532300', '57191445495', '57204713519', '25932189100', '55783266700', '57203883076', '55102717800', '6701864610', '12771603600', '7006799289']",60003771-60111801;60111801-60027272;60111801-60108299;60111801-60017161;60111801-60101501;60003771-60111801;60003771-60111801;60111801;60101501;60003771-60111801;60003771-60111801,2019-05-24,24 May 2019,Journal of Biological Chemistry,00219258,17592,1083351X,Journal,294,21,,8325-8335,"Interleukin (IL)-1 family cytokines potently regulate inflammation, with the majority of the IL-1 family proteins being secreted from immune cells via unconventional pathways. In many cases, secretion of IL-1 cytokines appears to be closely coupled to cell death, yet the secretory mechanisms involved remain poorly understood. Here, we studied the secretion of the three best-characterized members of the IL-1 superfamily, IL-1α, IL-1β, and IL-18, in a range of conditions and cell types, including murine bone marrow-derived and peritoneal macrophages, human monocyte-derived macrophages, HeLa cells, and mouse embryonic fibroblasts. We discovered that IL-1β and IL-18 share a common secretory pathway that depends upon membrane permeability and can operate in the absence of complete cell lysis and cell death. We also found that the pathway regulating the trafficking of IL-1α is distinct from the pathway regulating IL-1β and IL-18. Although the release of IL-1α could also be dissociated from cell death, it was independent of the effects of the membrane-stabilizing agent punicalagin, which inhibited both IL-1β and IL-18 release. These results reveal that in addition to their role as danger signals released from dead cells, IL-1 family cytokines can be secreted in the absence of cell death. We propose that models used in the study of IL-1 release should be considered context-dependently.",,21,1,WT,MR/K501311/1,Wellcome Trust,papers by authors,0.0,2019-05-01
0,2-s2.0-85096034511,10.1039/d0sc03828h,,,Selective inhibition of the K<sup>+</sup>efflux sensitive NLRP3 pathway by Cl<sup>-</sup>channel modulation,ar,Article,Swanton T.,60172345;60008936;60003771,"Faculty of Biology, Medicine and Health;Nuffield Department of Medicine;The University of Manchester",Manchester;Oxford;Manchester,United Kingdom;United Kingdom;United Kingdom,13,"['Swanton, Tessa', 'Beswick, James A.', 'Hammadi, Halah', 'Morris, Lucy', 'Williams, Daniel', 'De Cesco, Stephane', 'El-Sharkawy, Lina', 'Yu, Shi', 'Green, Jack', 'Davis, John B.', 'Lawrence, Catherine B.', 'Brough, David', 'Freeman, Sally']","['57200544725', '57196214869', '57195736548', '57220963040', '57213469456', '55195693700', '57201616316', '57190663756', '57203883076', '7405964033', '7402265662', '7006799289', '16143095900']",60003771;60172345;60172345;60003771;60003771;60008936;60172345;60003771;60003771;60008936;60003771;60003771;60172345,2020-11-21,21 November 2020,Chemical Science,20416520,19700200838,20416539,Journal,11,43,,11720-11728,"The NLRP3 inflammasome regulates production of the pro-inflammatory cytokines interleukin-1β (IL-1β) and IL-18, and contributes to inflammation exacerbating disease. Fenamate non-steroidal anti-inflammatory drugs (NSAIDs) were recently described as NLRP3 inflammasome inhibitors via chloride channel inhibition. Fenamate NSAIDs inhibit cyclooxygenase (COX) enzymes, limiting their potential as therapeutics for NLRP3-associated diseases due to established side effects. The aim here was to develop properties of the fenamates that inhibit NLRP3, and at the same time to reduce COX inhibition. We synthesised a library of analogues, with feedback from in silico COX docking potential, and IL-1β release inhibitory activity. Through iterative screening and rational chemical design, we established a collection of chloride channel inhibiting active lead molecules with potent activity at the canonical NLRP3 inflammasome and no activity at COX enzymes, but only in response to stimuli that activated NLRP3 by a K+ efflux-dependent mechanism. This study identifies a model for the isolation and removal of unwanted off-target effects, with the enhancement of desired activity, and establishes a new chemical motif for the further development of NLRP3 inflammasome inhibitors.",,1,1,MRC,201608060031,Medical Research Council,papers by authors,0.0,2020-11-01
